208.000,0.277,0.035
210.000,0.197,0.028
212.000,0.236,0.020
214.000,0.361,0.029
216.000,0.579,0.040
218.000,0.562,0.041
220.000,0.353,0.032
222.000,0.673,0.060
224.000,0.700,0.065
226.000,0.896,0.059
228.000,1.090,0.078
230.000,0.835,0.067
232.000,1.204,0.137
234.000,1.507,0.095
236.000,1.217,0.095
238.000,1.487,0.104
240.000,1.508,0.127
242.000,1.260,0.101
244.000,1.450,0.112
246.000,1.149,0.092
248.000,1.050,0.218
250.000,1.273,0.083
252.000,1.115,0.093
254.000,1.218,0.103
256.000,1.453,0.116
258.000,1.231,0.120
260.000,1.404,0.116
262.000,1.463,0.117
264.000,1.380,0.124
266.000,1.453,0.123
268.000,1.131,0.123
270.000,1.281,0.138
272.000,0.991,0.126
274.000,1.222,0.123
276.000,1.203,0.118
278.000,1.173,0.125
280.000,1.132,0.118
282.000,1.023,0.196
284.000,1.217,0.138
286.000,1.197,0.130
288.000,0.894,0.105
290.000,1.200,0.125
292.000,0.961,0.103
294.000,1.354,0.130
296.000,1.435,0.113
298.000,2.814,0.211
300.000,3.492,0.231
302.000,0.559,0.042
304.000,0.437,0.031
306.000,2.224,0.170
308.000,3.517,0.240
310.000,3.837,0.338
312.000,3.571,0.320
314.000,3.448,0.304
316.000,3.978,0.326
318.000,3.552,0.628
320.000,3.889,0.359
322.000,3.892,0.258
324.000,3.735,0.304
326.000,3.301,0.492
328.000,3.588,0.287
330.000,3.186,0.266
332.000,3.241,0.321
334.000,3.154,0.279
336.000,2.735,0.210
338.000,2.469,0.278
340.000,2.442,0.195
342.000,2.341,0.197
344.000,1.404,0.187
346.000,2.298,0.201
348.000,2.161,0.185
350.000,1.800,0.151
